sheet,name,type,legal,year,amount_mio
CIT,DTR deduction,Deduction of taxable income,Art. 202 - 205,2023,21935.59
VAT,Basic necessities and others,Reduced rate,"Art. 37, § 1er",2023,10589.01
CIT,Capital gains on shares eligible for FDI deduction,Exemption,Art. 192,2023,7192.73
PIT,Pensions e.a,Tax reduction,Art. 146,2026,4679.29
VAT,Real estate (construction sector and related sector),Reduced rate,,2023,3261.04
CIT,Deduction previous losses,Deduction of taxable income,,2023,1354.99
EXC,Gas oil low sulfur content - used as heating fuel,,"Art. 419, f), iii) en art. 420, § 5",2024,1333.0
CIT,Deduction for innovation: new regime,Deduction of taxable income,Art. 205/4,2023,1208.06
VAT,Horeca,Reduced rate,"Art. 37, § 1er",2023,1199.27
CIT,Reduction taxes for income of foreign origin with agreement exempted,Deduction of taxable income,"Art. 206/5, eerste lid, 1°",2023,1140.67
PIT,Health insurance benefits,Tax reduction,Art. 146,2026,1027.49
EIWT,night work,EIWT measure,"Art. 275^5, §5",2024,1010.16
PIT,Regional housing bonus,Tax reduction,Art. 145^37 e.v.,2026,856.68
CIT,Expressed unrealized capital gains,Exemption,"Art. 44, § 1, 1°",2023,768.08
PIT,Job bonus,Tax reduction,Art. 289ter/1,2026,710.87
PIT,Regional housing bonus,Tax reduction,Art. 145^37 e.v.,2026,665.72
PIT,Pension saving,Tax reduction,Art. 145^8,2026,650.11
CIT,Investment allowance,Deduction of taxable income,Art. 68 t.e.m. 77,2023,649.09
EIWT,Researchers employed by private companies having a Master or equivalent (list 2),EIWT measure,"Art. 275^3, §1, 3e, 3° list 2",2024,600.64
CIT,Reduced rates for small enterprises,Reduced rate,"Art. 215, tweede en derde lid",2023,582.14
WT,Exemption from withholding tax on income from movable property on the first bracket of income from savings deposits,Exemption,"Art. 21, 5°",2026,564.5
EXC,Professional diesel fuel reimbursement,Exemption,"Art. 429, § 5",2024,557.83
VAT,Horeca,Reduced rate,"Art. 37, § 1er",2023,508.02
EIWT,nightshift work - extension to the construction sector,EIWT measure,Art. 275^1,2024,416.24
PIT,Tax credit for overtime pay,Tax reduction,Art. 154bis,2026,386.42
PIT,Reimbursement commuting expenses - Public transport only,Exemption,"Art. 38, § 1, eerste lid, 9°, a)",2026,376.84
EIWT,Additional reduction Continuous work systems,EIWT measure,"Art. 275^5, §3",2024,366.68
PIT,Unemployment benefits,Tax reduction,Art. 146,2026,349.56
EIWT,"Researchers employed by private companies having a PhD in Applied Science, Exact Science, etc. (list 1)",EIWT measure,"Art. 275^3, §1, 3e, 3° list 1",2024,329.79
CIT,Intra-group transfer scheme,Deduction of taxable income,Art. 205/5,2023,320.61
CIT,Refundable tax credit research and development,Tax credit,Art. 289quater,2023,315.02
PIT,Flexi-jobs,Exemption,"Art. 38, §1, lid 1, 29°",2026,313.52
EXC,Gas oil used as motor fuel for industrial and commercial purposes,,"Art. 419, e), ii) en art. 420, § 4",2024,312.54
PIT,Additional reduction for replacement income,Tax reduction,Art. 146,2026,306.16
CIT,"Of which ""Green - R&D investments, energy savings investments and investments in recycling.",Deduction of taxable income,"Art. 69, § 1, eerste lid, 2°, b) en c)",2023,305.31
PIT,Federal reduction for long-term savings,Tax reduction,"Art. 145^1, 3° en 4°",2026,297.93
EXC,Gas oil high sulfur content,,"Art. 419, e), iii) en art. 420, § 5",2024,277.63
VAT,Supply of ships and aircraft,Exemption,"Art. 42, § 1er, 1°, b) et c) et § 2, 1°",2023,273.28
PIT,Child care expenses,Tax reduction,Art. 145^35,2026,271.68
CIT,Spread taxation,Exemption,Art. 47,2023,269.7
EIWT,Researchers employed by accredited scientific institutions,EIWT measure,"Art. 275^3, §1, 2e",2024,266.45
CIT,Tonnage tax for maritime companies,Reduced rate,Programmawet van 2 augustus 2002,2023,246.01
EIWT,shift work,EIWT measure,"Art. 275^5, §5",2024,244.32
PIT,Profit related pay for wage earners,Reduced rate,"Art. 38, §1, alinéa 1, 24°",2026,243.63
EIWT,"Research workers employed by universities, non-university tertiary education), Foundation for scientific research",EIWT measure,"Art. 275^3, §1, 1e",2024,229.31
EIWT,Structural reduction,EIWT measure,Art. 275^7,2024,217.9
CIT,Tax shelter audiovisual work,Exemption,Art. 194ter,2023,212.15
PIT,Low earned income,Tax reduction,Art. 289ter,2026,207.38
EIWT,Overtime pay - standard rule (130 working hours),EIWT measure,"Art. 275^1, 4e, 1e & 2e",2024,185.88
VAT,Newspapers and weeklies,Reduced rate,"Art. 37, § 1er",2023,157.39
PIT,Commuting expenses - Other means of transport,Exemption,"Art. 38, §1, eerste lid, 9°",2026,155.33
EIWT,Researchers employed by private companies having a bachelor's degree,EIWT measure,"Art. 275^3, §2, 3, 4°",2024,141.2
PIT,Personal contributions to group insurance,Tax reduction,"Art. 34, §1, 2°",2026,131.8
PIT,Exemption allowance for bike commuting,Exemption,"Art. 38, §1, eerste lid, 14° a)",2026,126.89
VAT,building lands,Exemption,"Art. 44, § 3, 1°",2023,102.55
CIT,Forfait portion of foreign tax,Tax reduction,Art. 285 t.e.m. 289,2023,95.8
